Player Name,Wiki Title,Height,Spike,Block,Position
Sliwka Aleksander,Aleksander Śliwka,198,342,325,Outside
Ri Haku,Haku Ri,194,347,325,Middle
Mojarad Aliasghar,Aliasghar Mojarrad,203,355,340,Middle
Jansen Vandoorn Daniel,Daniel Jansen Van Doorn,208,351,321,Middle
Štern Žiga,Žiga Štern,193,345,328,Outside
Nishida Yuji,Yuji Nishida,186,350,335,Opposite
Klos Karol,Karol Kłos,201,355,340,Middle
Muserskiy Dmitriy,Dmitry Muserskiy,218,367,342,Middle
Borges Almeida Silva Mauricio,Maurício Borges Silva,199,nan,nan,Outside
Vigrass Graham,Graham Vigrass,205,358,nan,Middle
Ghafour Amir,Amir Ghafour,202,354,334,Opposite
Ropret Gregor,Gregor Ropret,192,340,322,Setter
Bednorz Bartosz,Bartosz Bednorz,201,350,325,Outside
Christenson Micah,Micah Christenson,198,349,340,Setter
Jendryk II Jeffrey,Jeffrey Jendryk,205,368,nan,Middle
Fukuzawa Tatsuya,Tatsuya Fukuzawa,189,355,330,Wing
Šket Alen,Alen Šket,205,358,335,Outside
Takahashi Kentaro,Kentaro Takahashi,203,345,330,Middle
Kobzar Igor,Igor Kobzar,196,340,330,Setter
Seganov Georgi,Georgi Seganov,198,340,325,Setter
Böhme Marcus,Marcus Böhme,212,350,335,Middle
Sharifi Morteza,Morteza Sharifi,193,340,320,Outside
Saatkamp Lucas,Lucas Saatkamp,210,340,321,Middle
Sossenheimer David,David Sossenheimer,193,nan,nan,Outside
Zimmermann Jan,Jan Zimmermann (volleyball),190,335,315,Setter
Huber Norbert,Norbert Huber (volleyball),207,352,337,Middle
Gasparini Mitja,Mitja Gasparini,202,360,333,Opposite
Drzyzga Fabian,Fabian Drzyzga,196,343,nan,Setter
Averill Taylor,Taylor Averill,201,356,335,Middle
Rezende Bruno Mossa,Bruno Rezende,190,323,302,Setter
Palacios Ezequiel,Ezequiel Palacios,202,352,314
Pankov Pavel,Pavel Pankov,198,345,330,Setter
Abedini Reza,Reza Abedini (volleyball),203,354,348
Sander Brenden,Brenden Sander,195,360,nan,Outside
Sbertoli Riccardo,Riccardo Sbertoli
De Cecco Luciano,Luciano De Cecco,195,345,330,Setter
Spirito Luca,Luca Spirito,199,341,310,Setter
Blankenau Jay,Jay Blankenau,194,340,315,Setter
Baxpöhler Noah,Noah Baxpöhler,208,345,331,Middle
Jovovic Nikola,Nikola Jovović,197,335,315,Setter
Palonsky Luciano,Luciano Palonsky,198,355,328,Outside
Shoji Kawika,Kawika Shoji,190,331,315,Setter
Lazo Nicolás,Nicolás Lazo,192,339,317
Keemink Wessel,Wessel Keemink,197,350,338,Setter
Lyneel Julien,Julien Lyneel,192,345,325,Outside
Marshall Steven,Steven Marshall (volleyball),193,350,322,Outside
