Player Name,Team,Apts,Errors,Attempts,Avg Per Match,Success %,Total
Pajenk Alen,SLO,102,15,41,6,64.56,158
Correia De Souza Douglas,BRA,101,34,59,5.94,52.06,194
Ter Horst Thijs,NED,99,26,64,9,52.38,189
Kurek Bartosz,POL,97,27,67,8.82,50.79,191
Tillie Kevin,FRA,96,19,68,6,52.46,183
Graham Beau,AUS,96,60,94,6.4,38.4,250
Hoag Nicholas,CAN,95,45,81,6.33,42.99,221
Volkov Dmitry,RUS,93,28,64,6.64,50.27,185
Clevenot Trevor,FRA,92,30,68,6.57,48.42,190
Pinali Giulio,ITA,92,23,65,6.13,51.11,180
Conte Facundo,ARG,92,43,100,6.13,39.15,235
Podrascanin Marko,SRB,87,15,27,5.8,67.44,129
Leon Venero Wilfredo,POL,86,18,73,6.62,48.59,177
Loser Agustin,ARG,86,8,32,7.17,68.25,126
Schott Ruben,GER,85,30,94,5.67,40.67,209
Sclater Ryan Joseph,CAN,85,30,66,5.67,46.96,181
Souza Alan,BRA,85,18,49,5.31,55.92,152
Chinenyeze Barthélémy,FRA,84,15,53,4.94,55.26,152
Krick Tobias,GER,83,15,32,5.93,63.85,130
Parapunov Radoslav,BUL,82,54,62,5.47,41.41,198
Ebadipour Ghara H. Milad,IRI,82,38,84,6.31,40.2,204
Reichert Moritz,GER,78,29,91,5.2,39.39,198
Muagututia Garrett,USA,78,19,71,5.2,46.43,168
Kubiak Michal,POL,78,26,75,6.5,43.58,179
Anderson Matthew,USA,77,20,44,8.56,54.61,141
Lima Bruno,ARG,76,31,33,10.86,54.29,140
Mote Nehemiah,AUS,74,15,53,5.29,52.11,142
Takanashi Kenta,JPN,73,26,47,5.21,50,146
Ensing Kyle,USA,70,25,63,5,44.3,158
Sokolov Tsvetan,BUL,68,26,46,8.5,48.57,140
Bottolo Mattia,ITA,68,36,86,4.53,35.79,190
Saadat Bardia,IRI,68,28,39,4.86,50.37,135
Volvich Artem,RUS,67,11,21,4.47,67.68,99
Bieniek Mateusz,POL,67,8,43,5.15,56.78,118
Fromm Christian,GER,66,18,66,4.4,44,150
Otsuka Tatsunori,JPN,66,23,97,4.4,35.48,186
Mousavi Eraghi Seyed Mohammad,IRI,66,18,37,4.71,54.55,121
Možič Rok,SLO,66,16,34,3.88,56.9,116
Santos Isac,BRA,66,9,40,4.12,57.39,115
Kozamernik Jan,SLO,65,16,30,4.06,58.56,111
Hirsch Simon,GER,63,25,68,4.5,40.38,156
Semeniuk Kamil,POL,61,14,47,4.69,50,122
Esfandiar Amirhossein,IRI,60,21,45,4.29,47.62,126
O'Dea Trent,AUS,59,18,47,3.93,47.58,124
Kurkaev Ilyas,RUS,59,7,22,3.93,67.05,88
Solé Sebastian,ARG,59,6,39,5.36,56.73,104
Loeppky Eric,CAN,58,23,47,4.14,45.31,128
