Player Name,Wiki Title,Height,Spike,Block,Position
Mousavi Eraghi Seyed Mohammad,Mohammad Mousavi (volleyball),203,362,nan,Middle
Kozamernik Jan,Jan Kozamernik,205,358,336,Middle
Hirsch Simon,Simon Hirsch,204,352,344,Opposite
Semeniuk Kamil,Kamil Semeniuk,194,352,326,Outside
Esfandiar Amirhossein,Amir Hossein Esfandiar,209,330,310,Outside
O'Dea Trent,Trent O'Dea,201,354,344,
Kurkaev Ilyas,Ilyas Kurkaev,208,355,335,Middle
Solé Sebastian,Sebastián Solé,202,370,360,Middle
Andringa Robbert,Robbert Andringa,191,330,nan,Outside
Poletaev Victor,Viktor Poletaev,197,360,340,Opposite
Patch Benjamin,Benjamin Patch,203,368,348,Opposite
Podlesnykh Yaroslav,Yaroslav Podlesnykh,nan,nan,nan,outside
Bultor Daryl,Daryl Bultor,197,342,317,Middle
Le Goff Nicolas,Nicolas Le Goff,206,365,345,Middle
Martinez Franchi Jan,Jan Martínez Franchi,190,330,310,Outside
Vlasov Ilia,Ilia Vlasov,212,355,345,Middle
Onodera Taishi,Taishi Onodera,201,346,323,Middle
Parkinson Michael,Michaël Parkinson,203,365,350,Middle
Galassi Gianluca,Gianluca Galassi,,,,
Otake Issei,Issei Otake,201,345,327,Opposite
Kaczmarek Lukasz,Łukasz Kaczmarek,204,345,332,Opposite
Rossard Thibault,Thibault Rossard,194,350,320,Outside
Kolev Nikolay,Kolev,,,,
Kaliberda Denys,Denis Kaliberda,193,343,314,Outside
Szwarc Arthur,Arthur Szwarc,208,356,335,Middle
Plak Fabian,Fabian Plak,198,360,340,Middle
Atanasov Martin,Martin Atanasov,200,369,342,Outside
Yamauchi Akihiro,Akihiro Yamauchi,204,348,328,Middle
Kochanowski Jakub,Jakub Kochanowski,199,360,335,Middle
Resende Gualberto Flavio,Flávio Gualberto,200,356,nan,Middle
Poglajen Cristian,Cristian Poglajen,194,346,320,
Louati Yacine,Yacine Louati,198,345,320,Outside
Jaeschke Thomas,Thomas Jaeschke,nan,nan,nan,Outside
Sander Taylor,Taylor Sander,193,358,330,Outside
Smith David,David Smith (volleyball),202,360,345,Middle
Gholami Masoud,Masoud Gholami,200,289,275,Middle
Sliwka Aleksander,Aleksander Śliwka,198,342,325,Outside
Holt Maxwell,Maxwell Holt,205,351,333,Middle
Maar Stephen Timothy,Stephen Maar,202,360,345,Outside
Stahl Mitchell,Mitchell Stahl,203,360,344,Middle
Van Berkel Lucas,Lucas Van Berkel,210,350,326,Middle
Štern Žiga,Žiga Štern,193,345,328,Outside
Muzaj Maciej,Maciej Muzaj,207,365,340,Opposite
Bogdan Denis,Denis Bogdan,200,,,
De Souza Mauricio Luiz,Maurício Souza (volleyball),nan,nan,nan,Middle
Nishida Yuji,Yuji Nishida,186,350,335,Opposite
Fornal Tomasz,Tomasz Fornal,200,348,nan,Outside
Fukuzawa Tatsuya,Tatsuya Fukuzawa,189,355,330,Wing
Ghafour Amir,Amir Ghafour,202,354,334,Opposite
Borges Almeida Silva Mauricio,Maurício Borges Silva,199,nan,nan,Outside
Jansen Vandoorn Daniel,Daniel Jansen Van Doorn,208,351,321,Middle
Nowakowski Piotr,Piotr Nowakowski,205,368,340,Middle
Muserskiy Dmitriy,Dmitry Muserskiy,218,367,342,Middle
Ri Haku,Haku Ri,194,347,325,Middle
Šket Alen,Alen Šket,205,358,335,Outside
Brizard Antoine,Antoine Brizard,196,340,310,Setter
Vigrass Graham,Graham Vigrass,205,358,nan,Middle
Klos Karol,Karol Kłos,201,355,340,Middle
Böhme Marcus,Marcus Böhme,212,350,335,Middle
Dosanjh Arshdeep,Arshdeep Dosanjh,205,358,341,Setter
Takahashi Kentaro,Kentaro Takahashi,203,345,330,Middle
Mojarad Aliasghar,Aliasghar Mojarrad,203,355,340,Middle
Jendryk II Jeffrey,Jeffrey Jendryk,205,368,nan,Middle
Bednorz Bartosz,Bartosz Bednorz,201,350,325,Outside
Sharifi Morteza,Morteza Sharifi,193,340,320,Outside
Gasparini Mitja,Mitja Gasparini,202,360,333,Opposite
Saatkamp Lucas,Lucas Saatkamp,210,340,321,Middle
Sossenheimer David,David Sossenheimer,193,nan,nan,Outside
Averill Taylor,Taylor Averill,201,356,335,Middle
Christenson Micah,Micah Christenson,198,349,340,Setter
Palacios Ezequiel,Ezequiel Palacios,202,352,314,
Sander Brenden,Brenden Sander,195,360,nan,Outside
Huber Norbert,Norbert Huber (volleyball),207,352,337,Middle
Palonsky Luciano,Luciano Palonsky,198,355,328,Outside
Ropret Gregor,Gregor Ropret,192,340,322,Setter
Seganov Georgi,Georgi Seganov,198,340,325,Setter
Baxpöhler Noah,Noah Baxpöhler,208,345,331,Middle
Blankenau Jay,Jay Blankenau,194,340,315,Setter
Kobzar Igor,Igor Kobzar,196,340,330,Setter
Rezende Bruno Mossa,Bruno Rezende,190,323,302,Setter
Lazo Nicolás,Nicolás Lazo,192,339,317,
Zimmermann Jan,Jan Zimmermann (volleyball),190,335,315,Setter
Abedini Reza,Reza Abedini (volleyball),203,354,348,
De Cecco Luciano,Luciano De Cecco,195,345,330,Setter
Shoji Kawika,Kawika Shoji,190,331,315,Setter
Sbertoli Riccardo,Riccardo Sbertoli,,,,
Lyneel Julien,Julien Lyneel,192,345,325,Outside
Aubrey Matthew,Aubrey High School,,,,
Crer Pablo,Pablo Crer,205,350,nan,Middle
Jovovic Nikola,Nikola Jovović,197,335,315,Setter
Pankov Pavel,Pavel Pankov,198,345,330,Setter
Spirito Luca,Luca Spirito,199,341,310,Setter
Bispo dos Santos Matheus,Matheus Santos (volleyball),206,328,309,Middle
Gardini Davide,Davide Gardini,205,330,310,Outside
Kovac Davide,Davide Kovač,196,324,301,Outside
Tuaniga Joshua,Joshua Tuaniga,191,320,nan,Setter
Vadi Mohammad Taher,Mohammad Taher Vadi,194,329,315,Setter
Lisinac Srecko,Srećko Lisinac,205,370,355,Middle
Jorna Gijs,Gijs Jorna,196,340,310,libero
Gil Kreling Fernando,Fernando Kreling,185,320,302,Setter
Uriarte Nicolas,Nicolás Uriarte,189,340,320,Setter
Marshall Steven,Steven Marshall (volleyball),193,350,322,Outside
Keemink Wessel,Wessel Keemink,197,350,338,Setter
De Barros Ferreira João Rafael,João Rafael Ferreira,192,339,308,Outside
Fujii Naonobu,Naonobu Fujii,183,312,297,Setter
Štalekar Sašo,Sašo Štalekar,214,354,338,Middle
Drzyzga Fabian,Fabian Drzyzga,196,343,nan,Setter
Lomacz Grzegorz,Grzegorz Łomacz,188,336,315,Setter
Toniutti Benjamin,Benjamin Toniutti,183,320,310,Setter
Sekita Masahiro,Masahiro Sekita,175,311,295,Setter
Shafiei Ali,Ali Shafiei,198,348,345,Middle
